window_id,frame_start,frame_stop,frame_mid,cell_row,cell_col,x_center,y_center,mean_vx,mean_vy,mean_speed,mean_speed_sq,std_speed,active_fraction,alignment,direction_concentration,angular_sweep_std,angular_sweep_abs_mean,divergence,curl,neighbor_speed_contrast,neighbor_alignment_contrast,neighbor_angular_sweep_abs_diff,neighbor_direction_concentration_diff,cluster,cluster_probability,p_cluster_0,p_cluster_1,p_cluster_2,p_cluster_3
0,0,24,12,0,0,16.5,15.0,-0.00026311312103644013,1.3886939996154979e-05,0.0005851273308508098,1.326277561020106e-05,0.0035944960545748472,0.0,0.0,0.0,0.0,0.0,-1.558588701300323e-05,-0.0002856135251931846,-0.7735030964443771,-0.25533950825532276,0.7775771170854568,-0.3419159725308418,0,0.999999999623336,0.999999999623336,2.549056245808903e-13,2.223543183243808e-10,1.5405491258272793e-10
0,0,24,12,0,1,50.5,15.0,0.09234398603439331,0.025133030489087105,0.8890855312347412,1.040961503982544,0.5004881024360657,0.28407653383934217,0.0720709040760994,0.9952415227890015,0.0,0.19518695771694183,0.0009093263070099056,-0.002546733245253563,0.2831315540359356,-0.12388073652982712,0.7760110825300217,0.668869073688984,1,0.9986556223641692,0.0,0.9986556223641692,0.0013443776358302109,4.996413454685744e-16
0,0,24,12,0,2,85.0,15.0,0.02498573623597622,-0.07427005469799042,0.7515993118286133,0.8189290761947632,0.5040114521980286,0.10583717357910906,0.17292571067810059,1.0,0.0,0.0,0.000350215908838436,-0.0013282413128763437,-0.1267884492874145,0.03325823396444322,1.3272267311811448,0.4523776903748512,1,0.9920727961075069,0.0,0.9920727961075069,0.007927203892493323,2.0170036058762943e-17
0,0,24,12,0,3,119.5,15.0,-0.10254621505737305,0.026151815429329872,0.6676223874092102,0.5774246454238892,0.36291176080703735,0.3825506008855155,0.155693918466568,0.4992162883281708,1.4577053785324097,2.062150716781616,0.0009354152716696262,0.0021145683713257313,-0.2725329637527466,-0.1136803850531578,1.5910378113389014,-0.14263705611228938,1,0.9958663224144122,0.0,0.9958663224144122,0.00339783183182634,0.0007358457537614587
0,0,24,12,0,4,153.5,15.0,-0.14706136286258698,-0.000922496197745204,0.6928335428237915,0.615440845489502,0.36799803376197815,0.03573687539531942,0.28311100602149963,0.0,0.0,0.0,0.0019393903203308582,0.0011293183779343963,-0.3932071328163147,0.07367210909724237,0.9316866502165795,-0.6912246167659759,3,0.9962461604705936,0.0,5.9145594108289254e-05,0.003694693935298233,0.9962461604705936
0,0,24,12,0,5,188.0,15.0,-0.07127311825752258,0.01761660911142826,1.3397506475448608,2.9849231243133545,1.0908674001693726,0.06079109062980031,0.04273734614253044,0.9999999403953552,0.0,0.0,-0.0034063910134136677,0.0004730254295282066,0.07460739612579337,-0.2402547411620617,0.5999658927321434,0.5116284787654877,1,0.9842737841493086,0.0,0.9842737841493086,0.01572621585069145,9.319156926475234e-20
0,0,24,12,0,6,222.5,15.0,-1.3324589729309082,-0.07948441058397293,2.1621944904327393,8.109089851379395,1.8531068563461304,0.22679475015812778,0.41413211822509766,0.7374141812324524,1.0671041011810303,0.5609854459762573,-0.019520992413163185,0.020355962216854095,0.7178401470184326,0.2771419040858746,0.4258678793907166,0.2975108712911606,2,0.624371493646894,0.0,0.3756285063507547,0.624371493646894,2.3509444100659962e-12
0,0,24,12,0,7,256.5,15.0,-1.195307970046997,0.09793002903461456,2.192699432373047,8.606809616088867,1.9490714073181152,0.4084835547122075,0.2466457039117813,0.2875065207481384,0.8537980318069458,0.4434754252433777,0.015147245489060879,0.018017536029219627,0.4062907934188842,-0.03362792730331421,0.13814058005809784,-0.35934289991855617,1,0.9173898444645335,0.0,0.9173898444645335,0.08260700410899907,3.151426467240114e-06
0,0,24,12,0,8,291.0,15.0,2.004770040512085,0.12962345778942108,2.71183443069458,13.495528221130371,2.478201389312744,0.20729646697388632,0.4063059091567993,0.987093985080719,0.10666003823280334,0.10097451508045197,0.02272215485572815,-0.03423500433564186,0.7874950170516968,0.05766835808753967,0.24613294303417205,0.30558773577213283,2,0.9735712894593488,0.0,0.026428710540651386,0.9735712894593488,1.0457764333565954e-21
0,0,24,12,0,9,325.5,15.0,2.713658332824707,-0.06078767403960228,3.089893341064453,15.288165092468262,2.3959810733795166,0.2316967109424415,0.6771449446678162,0.982327401638031,0.2919389307498932,0.2258778214454651,-0.009602977894246578,-0.03694319352507591,1.6027169346809387,0.4463799349963665,0.3707771271467209,0.13568455576896665,2,0.9999952655643747,0.0,4.734435625597424e-06,0.9999952655643747,8.55529235807914e-31
